# T5 -- EPOCH CONTENT FATE LEDGER (coordinate last half). DERIVED, ONE COLUMN OUT-OF-SCOPE (R3.3).
# BUILDER: spec356c-targets.sh -- SPEC-356c R3.4's ONE target builder, committed before the data.
# SUBJECT: spec356c-long-r1.prune.csv    PRIOR-DURATION ARM: spec356-long.prune.csv
# STATUS:  replicate target table (R3.3). It is an OBSERVATION accompanying the frozen
#   classification and is read by no limb, step or slot.
# NOT A PREDICATE: this builder computes no predicate term, reads no threshold, decides nothing
#   and emits no verdict; it alters no Step, threshold, ordering or conditional. A column it
#   cannot compute is emitted EMPTY and never a substitute.
# NO FIT: no OLS fit, no slope, no standard error, no r2, no alpha, no t-statistic and no
#   significance claim is computed on any series in this file.
# (C1) SAMPLED, NOT EVENT-DRIVEN: the ledger scrapes every 10 s while LWM advances ~31 s apart,
#   so every 'at the moment LWM passes' reading here is THE FIRST SCRAPE AT OR AFTER the
#   advance -- a BUCKET, not an instant, carrying up to one cadence of lag.
# (C2) THE ADJ-7 BOUNDARY IS NOT CROSSED: eligible_refs (L) and ineligible_refs (P) are
#   PRE-drain; indexed_refs is POST-drain. No ratio is taken across that boundary anywhere in
#   this file, and the prohibited ratios P/indexed_refs and L/indexed_refs appear NOWHERE.
# (C3) MULTI-EVENT BUCKETS ARE REPORTED, NEVER SMOOTHED: a 10 s bucket carrying more than one
#   event does not separate into its events; the per-bucket event count is published
#   explicitly and is NEVER averaged into a per-event figure.
# UNITS DIFFER ON PURPOSE AND ARE NOT RECONCILED: indexed_refs is a REF COUNT, tombstone_bytes
#   is BYTES. No bytes-per-ref constant is assumed, fitted or implied anywhere in this file.
# The first non-'#' line below is the column header; every line after it is a data row.
# WINDOW: the COORDINATE LAST HALF -- the SAME window the R8.1 walk reads, so this ledger and the walk
#   describe the same rows. One row per epoch observed there as a topgun_or_prune_current_epoch value.
# WHAT THIS LEDGER ANSWERS: which content arrived, when the watermark passed it, whether anything ever
#   drained it, and what the prune attributed. WHAT IT DOES NOT ANSWER: whether that content was ever
#   in the drainable index -- that is T1(a), OUT-OF-SCOPE, owner TODO-634.
# THE COLUMN NAME CARRIES ITS OWN MARKER: indexed_refs_at_lwm_pass__AGGREGATE_NOT_PER_EPOCH is the
#   AGGREGATE index gauge at the first scrape at or after the LWM passed this epoch. It is OUT-OF-SCOPE
#   IN ITS PER-EPOCH FORM and is NOT presented as a per-epoch residency reading. No committed column,
#   and no derivation from committed columns, can attribute a ref to an epoch; producing that is a
#   per-epoch labelled emission on the prune path, a .rs change R0.4 forbids categorically.
# added_bytes IS SAMPLED. It is the delta of topgun_ormap_tombstone_bytes_total across the epoch's
#   currency window, measured from the row immediately PRECEDING the epoch's first scrape. At width
#   1000 an epoch is current for ~31 s ~ 3 scrapes, so boundary attribution carries up to ONE SCRAPE AT
#   EACH END => ~1/3 relative uncertainty. scrapes_in_epoch is published BESIDE it so the reader SEES
#   that uncertainty rather than having to infer it. When no preceding row exists the cell is EMPTY.
# was_drained_ever FOLLOWS A STATED INFERENCE RULE, AND THE ASSUMPTION IS VISIBLE HERE.
#   Drains are read over the FULL LEDGER (the question is "ever", not "in this window"). For a drain
#   bucket whose drain_epochs delta is k: when k == 1 the drained epoch is EXACTLY the bucket's
#   last_drained_epoch and the set is EXACT; when k > 1 THE DRAINED SET IS INFERRED AS THE k EPOCHS
#   ENDING AT last_drained_epoch, WHICH ASSUMES CONTIGUITY. Nothing in the committed surface proves
#   contiguity. Whether the assumption was exercised at all is readable from the d_drain_epochs_sum
#   column of the t2-drains table (SPEC-356b measured 1.000 epoch per drain, i.e. never exercised).
# bytes_freed_attributed IS NOT SPLIT WHEN k > 1: the drain's whole epoch_bytes_freed_sum delta is
#   published against EACH epoch of the inferred k-epoch set, because NO COMMITTED COLUMN LICENSES A
#   SPLIT. It is EMPTY for an epoch nothing ever drained.
# lwm_passed_at_t IS SAMPLED (C1): it is the bucket at which low_water_mark FIRST EXCEEDS this epoch,
#   i.e. the first scrape at or after the advance. EMPTY when the LWM never passed the epoch inside
#   this ledger -- an EMPTY here is "not observed", never "did not happen".
# T1(b) AND T5 ARE ONE OBSERVATION REACHED BY TWO ROUTES wherever current_epoch == low_water_mark: the
#   t1-lwmpass rows are a PROJECTION of these epoch rows, and agreement between the two tables is a
#   RESTATEMENT, NOT CORROBORATION. Whether that identity survives is published, not assumed, on the
#   EQUALITY_RATE line below -- if it breaks, the two tables become independent and the reader must be
#   told which regime is being read. THE EQUALITY RATE FOR THIS REPLICATE IS CARRIED HERE, IN THIS
#   HEADER COMMENT, AND NOWHERE ELSE.
# EQUALITY_RATE current_epoch == low_water_mark: full_ledger=2779/2881=0.964596 coordinate_last_half=1390/1440=0.965278
epoch,t_first_seen,t_last_seen,scrapes_in_epoch,added_bytes,indexed_refs_at_lwm_pass__AGGREGATE_NOT_PER_EPOCH,was_drained_ever,bytes_freed_attributed,lwm_passed_at_t
460,14410,14430,3,19412,1361,false,,14440
461,14440,14460,3,22563,1303,false,,14470
462,14470,14490,3,22103,1303,false,,14500
463,14500,14520,3,22448,1276,false,,14530
464,14530,14550,3,21689,1221,false,,14560
465,14560,14580,3,25461,1195,false,,14590
466,14590,14610,3,18745,1141,false,,14620
467,14620,14640,3,22609,1124,false,,14650
468,14650,14670,3,22655,1067,false,,14680
469,14680,14700,3,24104,1031,false,,14710
470,14710,14740,4,27807,1370,false,,14750
471,14750,14770,3,22540,1345,false,,14780
472,14780,14801,3,22448,1278,false,,14810
473,14810,14830,3,22816,1247,false,,14840
474,14840,14860,3,20171,1181,false,,14870
475,14870,14890,3,22471,1159,false,,14900
476,14900,14920,3,22471,1097,false,,14930
477,14930,14950,3,25162,1074,false,,14960
478,14960,14980,3,20493,1390,false,,15000
479,14990,15020,4,25898,1251,false,,15030
480,15030,15050,3,21597,1184,false,,15060
481,15060,15080,3,22425,1171,false,,15090
482,15090,15110,3,22563,1117,false,,15120
483,15120,15140,3,26266,1103,false,,15150
484,15150,15170,3,18101,1420,false,,15190
485,15181,15200,3,21827,1400,false,,15220
486,15210,15240,4,31188,1337,false,,15250
487,15250,15270,3,21390,1306,false,,15280
488,15280,15300,3,22333,1130,false,,15310
489,15310,15330,3,23414,1108,false,,15340
490,15340,15360,3,21183,1087,false,,15371
491,15371,15390,3,20585,1405,false,,15410
492,15400,15420,3,20539,1356,false,,15440
493,15430,15460,4,30475,1333,false,,15470
494,15470,15490,3,22632,1315,false,,15501
495,15501,15520,3,21321,1246,false,,15530
496,15530,15550,3,22586,1222,false,,15560
497,15560,15580,3,21712,1167,false,,15590
498,15590,15610,3,20401,1020,false,,15620
499,15620,15650,4,29647,1345,false,,15660
500,15660,15680,3,22517,1321,false,,15690
501,15690,15710,3,20079,1206,false,,15720
502,15720,15740,3,22586,1179,false,,15750
503,15750,15770,3,21482,1117,false,,15780
504,15780,15800,3,26933,1101,false,,15810
505,15810,15830,3,17365,1414,false,,15850
506,15840,15860,3,23805,1010,false,,15870
507,15870,15900,4,28773,1214,false,,15910
508,15910,15930,3,19159,1162,false,,15940
509,15940,15960,3,21528,1106,false,,15970
510,15970,15990,3,22379,1065,false,,16000
511,16000,16030,4,30038,1369,false,,16040
512,16040,16060,3,22080,1340,false,,16070
513,16070,16090,3,21643,1273,false,,16100
514,16100,16120,3,22517,1256,false,,16130
515,16130,16151,3,23138,1180,false,,16160
516,16160,16180,3,20332,1146,false,,16190
517,16190,16220,4,28152,1373,false,,16230
518,16230,16250,3,22655,1360,false,,16260
519,16260,16280,3,21781,1295,false,,16290
520,16290,16310,3,22402,1263,false,,16320
521,16320,16340,3,22011,1190,false,,16350
522,16350,16370,3,21896,1173,false,,16380
523,16380,16400,3,22172,1148,false,,16410
524,16410,16430,3,21252,1070,false,,16440
525,16440,16460,3,26634,1040,false,,16470
526,16470,16500,4,25944,1234,false,,16510
527,16510,16530,3,19550,1208,false,,16540
528,16540,16560,3,22977,1142,false,,16570
529,16570,16590,3,20976,1109,false,,16600
530,16600,16620,3,21321,1428,false,,16640
531,16630,16650,3,26358,1398,false,,16670
532,16660,16690,4,26082,1312,false,,16700
533,16700,16720,3,22126,1279,false,,16730
534,16730,16750,3,21436,1214,false,,16760
535,16760,16780,3,23966,1189,false,,16790
536,16790,16820,4,25875,1372,false,,16830
537,16830,16850,3,21942,1340,false,,16860
538,16860,16880,3,21413,1264,false,,16890
539,16890,16910,3,22149,1233,false,,16920
540,16920,16940,3,21482,1169,false,,16950
541,16950,16970,3,25415,1144,false,,16980
542,16980,17000,3,19090,1060,false,,17010
543,17010,17030,3,20999,1015,false,,17040
544,17040,17060,3,22563,1336,false,,17080
545,17070,17100,4,30406,1207,false,,17110
546,17110,17130,3,19458,1159,false,,17140
547,17140,17160,3,25507,1081,false,,17170
548,17170,17190,3,20585,1035,false,,17200
549,17200,17230,4,26979,1335,false,,17240
550,17240,17260,3,22034,1295,false,,17270
551,17270,17290,3,21413,1230,false,,17300
552,17300,17320,3,21942,1175,false,,17330
553,17330,17350,3,21781,1097,false,,17360
554,17360,17380,3,25277,1061,false,,17390
555,17390,17421,4,24426,1248,false,,17430
556,17430,17450,3,22632,1214,false,,17460
557,17460,17480,3,20493,1116,false,,17490
558,17490,17510,3,21298,1085,false,,17520
559,17520,17540,3,26105,1385,false,,17560
560,17550,17580,4,25760,1342,false,,17590
561,17590,17610,3,21919,1297,false,,17620
562,17620,17640,3,21482,1222,false,,17650
563,17650,17670,3,21758,1172,false,,17680
564,17680,17710,4,27508,1372,false,,17720
565,17720,17740,3,22333,1343,false,,17750
566,17750,17770,3,21160,1264,false,,17780
567,17780,17800,3,22379,1233,false,,17810
568,17810,17830,3,23115,1158,false,,17840
569,17840,17860,3,19964,1105,false,,17870
570,17870,17890,3,21666,1058,false,,17900
571,17900,17930,4,30222,1353,false,,17940
