# T1(b) -- LWM-PASS LEDGER (coordinate last half). DERIVED (R3.3).
# BUILDER: spec356c-targets.sh -- SPEC-356c R3.4's ONE target builder, committed before the data.
# SUBJECT: spec356c-long-r2.prune.csv    PRIOR-DURATION ARM: spec356-long.prune.csv
# STATUS:  replicate target table (R3.3). It is an OBSERVATION accompanying the frozen
#   classification and is read by no limb, step or slot.
# NOT A PREDICATE: this builder computes no predicate term, reads no threshold, decides nothing
#   and emits no verdict; it alters no Step, threshold, ordering or conditional. A column it
#   cannot compute is emitted EMPTY and never a substitute.
# NO FIT: no OLS fit, no slope, no standard error, no r2, no alpha, no t-statistic and no
#   significance claim is computed on any series in this file.
# (C1) SAMPLED, NOT EVENT-DRIVEN: the ledger scrapes every 10 s while LWM advances ~31 s apart,
#   so every 'at the moment LWM passes' reading here is THE FIRST SCRAPE AT OR AFTER the
#   advance -- a BUCKET, not an instant, carrying up to one cadence of lag.
# (C2) THE ADJ-7 BOUNDARY IS NOT CROSSED: eligible_refs (L) and ineligible_refs (P) are
#   PRE-drain; indexed_refs is POST-drain. No ratio is taken across that boundary anywhere in
#   this file, and the prohibited ratios P/indexed_refs and L/indexed_refs appear NOWHERE.
# (C3) MULTI-EVENT BUCKETS ARE REPORTED, NEVER SMOOTHED: a 10 s bucket carrying more than one
#   event does not separate into its events; the per-bucket event count is published
#   explicitly and is NEVER averaged into a per-event figure.
# UNITS DIFFER ON PURPOSE AND ARE NOT RECONCILED: indexed_refs is a REF COUNT, tombstone_bytes
#   is BYTES. No bytes-per-ref constant is assumed, fitted or implied anywhere in this file.
# The first non-'#' line below is the column header; every line after it is a data row.
# WINDOW: the COORDINATE LAST HALF -- rows whose elapsed_secs EXCEEDS the full ledger's elapsed
#   midpoint. One record per row i of that window at which topgun_or_prune_low_water_mark STRICTLY
#   INCREASES relative to row i-1. Row i-1 is the LEDGER's immediately preceding row, which for the
#   window's first row lies just outside the window; that is the literal reading of R3's derivation
#   and it is what makes the predicate defined for every row of the window.
# WHAT THIS LEDGER ANSWERS: what the AGGREGATE index looked like as the LWM walked past. WHAT IT
#   CANNOT DISTINGUISH: "epoch e's refs were never indexed" from "they were indexed and left the index
#   earlier". T1(a) -- per-epoch index membership -- is OUT-OF-SCOPE (a per-epoch labelled emission on
#   the prune path is a .rs change R0.4 forbids categorically); owner TODO-634. THIS TABLE IS NOT ITS
#   ANSWER and hypothesis (a) is addressed in DIRECTION ONLY.
# refs_per_indexed_epoch IS A MEAN OVER THE INDEX, NOT A PER-EPOCH VALUE. It is indexed_refs divided
#   by indexed_epochs, and it is EMPTY when indexed_epochs = 0.
# EVENTS_IN_BUCKET (C3) is the number of LWM ADVANCE EVENTS attributable to this bucket, read as the
#   delta of topgun_or_prune_lwm_advances_total across (i-1, i]. It is published, never averaged.
#   epochs_passed (lwm_after - lwm_before) is published beside it and is not assumed to be 1.
# The d_*_since_prev_pass columns are deltas since the PREVIOUS ROW OF THIS TABLE (the previous
#   LWM-pass bucket), exact between the two SAMPLED instants. On the first row of the table there is
#   no previous pass, so all three are EMPTY -- never zero, never a substitute.
# T1(b) AND T5 ARE ONE OBSERVATION REACHED BY TWO ROUTES wherever current_epoch == low_water_mark:
#   this table's rows are a PROJECTION of T5's epoch rows, and agreement between the two is a
#   RESTATEMENT, NOT CORROBORATION. The measured equality rate for this replicate is published in the
#   header of the t5-fate table.
t_secs,lwm_before,lwm_after,epochs_passed,current_epoch,indexed_refs,indexed_epochs,refs_per_indexed_epoch,eligible_refs,ineligible_refs,d_tombstone_bytes_since_prev_pass,d_bytes_freed_since_prev_pass,d_nonempty_drains_since_prev_pass,EVENTS_IN_BUCKET
14440,460,461,1,461,1373,2,686.500000,0,1070,,,,1
14470,461,462,1,462,1360,2,680.000000,0,1048,22701,0,0,1
14500,462,463,1,463,1334,2,667.000000,0,1049,22402,0,0,1
14530,463,464,1,464,1321,2,660.500000,0,1022,22724,0,0,1
14560,464,465,1,465,1261,2,630.500000,0,1087,21597,0,0,1
14590,465,466,1,466,1254,2,627.000000,0,1057,22839,0,0,1
14620,466,467,1,467,1200,2,600.000000,0,1030,21758,0,0,1
14650,467,468,1,468,1196,2,598.000000,0,1028,22908,0,0,1
14680,468,469,1,469,1193,2,596.500000,0,1009,22931,0,0,1
14710,469,470,1,470,1024,2,512.000000,0,1001,19113,0,0,1
14750,470,471,1,471,1374,2,687.000000,0,1062,31050,0,0,1
14780,471,472,1,472,1368,2,684.000000,0,1054,22862,0,0,1
14811,472,473,1,473,1363,2,681.500000,0,1035,22885,0,0,1
14840,473,474,1,474,1320,2,660.000000,0,1117,22011,0,0,1
14870,474,475,1,475,1322,2,661.000000,0,1015,23069,0,0,1
14900,475,476,1,476,1266,2,633.000000,0,1068,21689,0,0,1
14930,476,477,1,477,1252,2,626.000000,0,1049,22678,0,0,1
14960,477,478,1,478,1203,2,601.500000,0,1023,21873,0,0,1
14990,478,479,1,479,1204,2,602.000000,0,1030,23023,0,0,1
15020,479,480,1,480,1035,2,517.500000,0,1029,19113,0,0,1
15050,480,481,1,481,1024,2,512.000000,0,1018,22747,0,0,1
15090,481,482,1,482,1376,2,688.000000,0,1071,31096,0,0,1
15120,482,483,1,483,1375,2,687.500000,0,1161,23000,0,0,1
15150,483,484,1,484,1329,2,664.500000,0,1066,21919,0,0,1
15180,484,485,1,485,1318,2,659.000000,0,1040,22747,0,0,1
15210,485,486,1,486,1294,2,647.000000,0,1050,22471,0,0,1
15240,486,487,1,487,1287,2,643.500000,0,1028,22816,0,0,1
15270,487,488,1,488,1279,2,639.500000,0,1025,22816,0,0,1
15300,488,489,1,489,1236,2,618.000000,0,1008,22011,0,0,1
15330,489,490,1,490,1136,2,568.000000,0,1048,20700,0,0,1
15360,490,491,1,491,1089,2,544.500000,0,1026,21919,0,0,1
15390,491,492,1,492,1078,2,539.000000,0,1074,22747,0,0,1
15430,492,493,1,493,1414,2,707.000000,0,1060,30728,0,0,1
15460,493,494,1,494,1410,2,705.000000,0,1036,22908,0,0,1
15490,494,495,1,495,1365,2,682.500000,0,1045,21988,0,0,1
15520,495,496,1,496,1370,2,685.000000,0,1020,23115,0,0,1
15550,496,497,1,497,1317,2,658.500000,0,1019,21758,0,0,1
15580,497,498,1,498,1302,2,651.000000,0,1067,22655,0,0,1
15610,498,499,1,499,1141,2,570.500000,0,1083,19297,0,0,1
15640,499,500,1,500,1139,2,569.500000,0,1058,22954,0,0,1
15670,500,501,1,501,1139,2,569.500000,0,1043,23000,0,0,1
15700,501,502,1,502,1105,2,552.500000,0,1050,22218,0,0,1
15730,502,503,1,503,1099,2,549.500000,0,1027,22862,0,0,1
15760,503,504,1,504,1054,2,527.000000,0,1026,21965,0,0,1
15790,504,505,1,505,1055,2,527.500000,0,1011,23046,0,0,1
15820,505,506,1,506,1007,2,503.500000,0,1007,21873,0,0,1
15860,506,507,1,507,1385,2,692.500000,0,1061,31740,0,0,1
15890,507,508,1,508,1343,2,671.500000,0,1139,21988,0,0,1
15920,508,509,1,509,1219,2,609.500000,0,1036,20171,0,0,1
15950,509,510,1,510,1165,2,582.500000,0,1013,21735,0,0,1
15980,510,511,1,511,1161,2,580.500000,0,1015,22908,0,0,1
16010,511,512,1,512,1110,2,555.000000,0,1064,21827,0,0,1
16040,512,513,1,513,1106,2,553.000000,0,1065,22908,0,0,1
